Föremålsbenämning,Föremålsnr.,Förvärvsnr.,Andra nummer,Material,Plats,Fornlämning,Socken,Landskap,Land,Kontexttyp,Kontextnr.,Museum,Unique Name,Catalog Link,Kategori,Storlek,Antal,Datering,Tidsperiod,Föremålsnummer,Förvärvsnummer,Omnämns i katalog,Förvärvsdatum,Fyndplats,Arkeologisk kontext,Förvärvsmetod,Kontextnamn,Historisk plats,Undersökare,Undersökningsår,latitude,longitude,historisk_plats_latitude,historisk_plats_longitude,Föremålsbenämning_translated,Föremålsnr._translated,Andra nummer_translated,Material_translated,Plats_translated,Fornlämning_translated,Socken_translated,Landskap_translated,Land_translated,Kontexttyp_translated,Kontextnr._translated,Kategori_translated,Storlek_translated,Datering_translated,Tidsperiod_translated,Föremålsnummer_translated,Omnämns i katalog_translated,Fyndplats_translated,Arkeologisk kontext_translated,Förvärvsmetod_translated,Kontextnamn_translated,Historisk plats_translated,Undersökare_translated,Undersökningsår_translated,Era Start Year,Era End Year,Width,Length,Thickness,Diameter,Weight,year_uncovered
Barr,795_HST,33759.0,Undernummer: 30,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,Historiska museet,Barr - 1,https://samlingar.shm.se/object/4CCBEB01-351D-4F98-A992-1C222E3B7EF0,Hantverk och redskap  Handel och värdemätare  Arkeologisk samling,Vikt 96.85 g  Längd 92 mm  Bredd 14 mm  Tjocklek 11 mm,1.0,800 – 1100,Vikingatid,795_HST,33759.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,2002.0,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 2,,,,,,57.7280603,18.7542093,46.3144754,11.0480288,Barr,795_HST,Subnumber: 30,Silver,Gambling,L1976:7626,Othem parish,Gotland,Sweden,Tax fun,2,Crafts and implements Trade and valuers Archaeological collection,Weight 96.85 g Length 92 mm Width 14 mm Thickness 11 mm,800 – 1100,Viking age,795_HST,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,"Place: Spillings, Ancient site: L1976:7626, Property: Spillings 1:36, Parish: Othem parish, Municipality: Gotland municipality, Landscape: Gotland, Country: Sweden",Tax jokes: 2,,,,,,800,1100,14.0,92.0,11.0,,96.85,
Barr,897_HST,33759.0,Undernummer: 211,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,Historiska museet,Barr - 2,https://samlingar.shm.se/object/4C648ABC-1BFC-444E-8E53-C816A856C2B3,Hantverk och redskap  Handel och värdemätare  Arkeologisk samling,Vikt 95.84 g  Längd 129 mm  Bredd 12 mm  Tjocklek 9 mm,1.0,800 – 1100,Vikingatid,897_HST,33759.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,2002.0,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 2,,,,,,57.7280603,18.7542093,46.3144754,11.0480288,Barr,897_HST,Subnumber: 211,Silver,Gambling,L1976:7626,Othem parish,Gotland,Sweden,Tax fun,2,Crafts and implements Trade and valuers Archaeological collection,Weight 95.84 g Length 129 mm Width 12 mm Thickness 9 mm,800 – 1100,Viking age,897_HST,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,"Place: Spillings, Ancient site: L1976:7626, Property: Spillings 1:36, Parish: Othem parish, Municipality: Gotland municipality, Landscape: Gotland, Country: Sweden",Tax jokes: 2,,,,,,800,1100,12.0,129.0,9.0,,95.84,
spiralring,911_HST,33759.0,Undernummer: 232,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,Historiska museet,spiralring - 3,https://samlingar.shm.se/object/9345E7C4-0C1B-420A-877E-13F2A1B80328,Handel och värdemätare  Arkeologisk samling,Vikt 91.66 g  Diameter 70 mm  Bredd 5 mm  Tjocklek 5 mm,1.0,800 – 1100,Vikingatid,911_HST,33759.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,2002.0,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 2,,,,,,57.7280603,18.7542093,46.3144754,11.0480288,spiralring,911_HST,Subnumber: 232,Silver,Gambling,L1976:7626,Othem parish,Gotland,Sweden,Tax fun,2,Trade and valuers Archaeological collection,Weight 91.66 g Diameter 70 mm Width 5 mm Thickness 5 mm,800 – 1100,Viking age,911_HST,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,"Place: Spillings, Ancient site: L1976:7626, Property: Spillings 1:36, Parish: Othem parish, Municipality: Gotland municipality, Landscape: Gotland, Country: Sweden",Tax jokes: 2,,,,,,800,1100,5.0,,5.0,70.0,91.66,
Konglomerat,947_HST,33759.0,Undernummer: 283,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,Historiska museet,Konglomerat - 4,https://samlingar.shm.se/object/870C041D-7B18-4DCC-BEC7-F407671A097C,Dräkt och personlig utrustning  Handel och värdemätare  Arkeologisk samling,Vikt 69.56 g  Diameter 75 mm,,800 – 1100,Vikingatid,947_HST,33759.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,2002.0,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 2,,,,,,57.7280603,18.7542093,46.3144754,11.0480288,Conglomerate,947_HST,Subnumber: 283,Silver,Gambling,L1976:7626,Othem parish,Gotland,Sweden,Tax fun,2,Costume and Personal Equipment Trade and Value Gauges Archaeological Collection,Weight 69.56 g Diameter 75 mm,800 – 1100,Viking age,947_HST,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,"Place: Spillings, Ancient site: L1976:7626, Property: Spillings 1:36, Parish: Othem parish, Municipality: Gotland municipality, Landscape: Gotland, Country: Sweden",Tax jokes: 2,,,,,,800,1100,,,,75.0,69.56,
Barr,1006_HST,33759.0,Undernummer: 357,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,Historiska museet,Barr - 5,https://samlingar.shm.se/object/67531AE6-EBF5-495D-8E6E-C193D4FE3871,Hantverk och redskap  Handel och värdemätare  Arkeologisk samling,Vikt 53.97 g  Längd 790 mm  Bredd 11 mm  Tjocklek 10 mm,1.0,800 – 1100,Vikingatid,1006_HST,33759.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,2002.0,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 2,,,,,,57.7280603,18.7542093,46.3144754,11.0480288,Barr,1006_HST,Subnumber: 357,Silver,Gambling,L1976:7626,Othem parish,Gotland,Sweden,Tax fun,2,Crafts and implements Trade and valuers Archaeological collection,Weight 53.97 g Length 790 mm Width 11 mm Thickness 10 mm,800 – 1100,Viking age,1006_HST,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,"Place: Spillings, Ancient site: L1976:7626, Property: Spillings 1:36, Parish: Othem parish, Municipality: Gotland municipality, Landscape: Gotland, Country: Sweden",Tax jokes: 2,,,,,,800,1100,11.0,790.0,10.0,,53.97,
Barr,1038_HST,33759.0,Undernummer: 413,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,Historiska museet,Barr - 6,https://samlingar.shm.se/object/3562C8D4-02A5-4A0B-8A09-15251AC782DA,Hantverk och redskap  Handel och värdemätare  Arkeologisk samling,Vikt 42.76 g  Längd 73.5 mm  Bredd 11 mm  Tjocklek 8 mm,1.0,800 – 1100,Vikingatid,1038_HST,33759.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,2002.0,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 2,,,,,,57.7280603,18.7542093,46.3144754,11.0480288,Barr,1038_HST,Subnumber: 413,Silver,Gambling,L1976:7626,Othem parish,Gotland,Sweden,Tax fun,2,Crafts and implements Trade and valuers Archaeological collection,Weight 42.76 g Length 73.5 mm Width 11 mm Thickness 8 mm,800 – 1100,Viking age,1038_HST,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,"Place: Spillings, Ancient site: L1976:7626, Property: Spillings 1:36, Parish: Othem parish, Municipality: Gotland municipality, Landscape: Gotland, Country: Sweden",Tax jokes: 2,,,,,,800,1100,11.0,73.5,8.0,,42.76,
Konglomerat,1045_HST,33759.0,Undernummer: 423,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,Historiska museet,Konglomerat - 7,https://samlingar.shm.se/object/ED8D8D15-87E2-4FBD-936C-2F9C87CD075C,Dräkt och personlig utrustning  Handel och värdemätare  Arkeologisk samling,Vikt 198 g  Diameter 51 mm  Diameter 57 mm  Diameter 53 mm  Diameter 45 mm  Diameter 42 mm  + Visa 1 till,,800 – 1100,Vikingatid,1045_HST,33759.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,2002.0,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 2,,,,,,57.7280603,18.7542093,46.3144754,11.0480288,Conglomerate,1045_HST,Subnumber: 423,Silver,Gambling,L1976:7626,Othem parish,Gotland,Sweden,Tax fun,2,Costume and Personal Equipment Trade and Value Gauges Archaeological Collection,Weight 198 g Diameter 51 mm Diameter 57 mm Diameter 53 mm Diameter 45 mm Diameter 42 mm + Show 1 more,800 – 1100,Viking age,1045_HST,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,"Place: Spillings, Ancient site: L1976:7626, Property: Spillings 1:36, Parish: Othem parish, Municipality: Gotland municipality, Landscape: Gotland, Country: Sweden",Tax jokes: 2,,,,,,800,1100,,,,57.0,198.0,
Barr,1065_HST,33759.0,Undernummer: 446,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,Historiska museet,Barr - 8,https://samlingar.shm.se/object/D3E7D85E-96B0-4582-B680-C730D982A51C,Hantverk och redskap  Handel och värdemätare  Arkeologisk samling,Vikt 31.29 g  Längd 53.5 mm  Bredd 12.5 mm  Tjocklek 7 mm,1.0,800 – 1100,Vikingatid,1065_HST,33759.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,2002.0,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 2,,,,,,57.7280603,18.7542093,46.3144754,11.0480288,Barr,1065_HST,Subnumber: 446,Silver,Gambling,L1976:7626,Othem parish,Gotland,Sweden,Tax fun,2,Crafts and implements Trade and valuers Archaeological collection,Weight 31.29 g Length 53.5 mm Width 12.5 mm Thickness 7 mm,800 – 1100,Viking age,1065_HST,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,"Place: Spillings, Ancient site: L1976:7626, Property: Spillings 1:36, Parish: Othem parish, Municipality: Gotland municipality, Landscape: Gotland, Country: Sweden",Tax jokes: 2,,,,,,800,1100,12.5,53.5,7.0,,31.29,
spiralring,1070_HST,33759.0,Undernummer: 451,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,Historiska museet,spiralring - 9,https://samlingar.shm.se/object/330985C8-C6B3-406F-AA2E-FF28711E4871,Handel och värdemätare  Arkeologisk samling,Vikt 25.75 g  Diameter 57 mm  Diameter 3 mm,1.0,800 – 1100,Vikingatid,1070_HST,33759.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,2002.0,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 2,,,,,,57.7280603,18.7542093,46.3144754,11.0480288,spiralring,1070_HST,Subnumber: 451,Silver,Gambling,L1976:7626,Othem parish,Gotland,Sweden,Tax fun,2,Trade and valuers Archaeological collection,Weight 25.75 g Diameter 57 mm Diameter 3 mm,800 – 1100,Viking age,1070_HST,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,"Place: Spillings, Ancient site: L1976:7626, Property: Spillings 1:36, Parish: Othem parish, Municipality: Gotland municipality, Landscape: Gotland, Country: Sweden",Tax jokes: 2,,,,,,800,1100,,,,57.0,25.75,
Barr,1095_HST,33759.0,Undernummer: 477,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,Historiska museet,Barr - 10,https://samlingar.shm.se/object/64F077B2-C77E-4790-AB3A-9586AA4C0619,Hantverk och redskap  Handel och värdemätare  Arkeologisk samling,Vikt 37.2 g  Längd 72.5 mm  Bredd 10 mm  Tjocklek 7 mm,1.0,800 – 1100,Vikingatid,1095_HST,33759.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,2002.0,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 2,,,,,,57.7280603,18.7542093,46.3144754,11.0480288,Barr,1095_HST,Subnumber: 477,Silver,Gambling,L1976:7626,Othem parish,Gotland,Sweden,Tax fun,2,Crafts and implements Trade and valuers Archaeological collection,Weight 37.2 g Length 72.5 mm Width 10 mm Thickness 7 mm,800 – 1100,Viking age,1095_HST,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,"Place: Spillings, Ancient site: L1976:7626, Property: Spillings 1:36, Parish: Othem parish, Municipality: Gotland municipality, Landscape: Gotland, Country: Sweden",Tax jokes: 2,,,,,,800,1100,10.0,72.5,7.0,,37.2,
