Föremålsbenämning,Föremålsnr.,Förvärvsnr.,Andra nummer,Material,Plats,Fornlämning,Socken,Landskap,Land,Kontexttyp,Kontextnr.,Museum,Unique Name,Catalog Link,Kategori,Antal,Datering,Tidsperiod,Föremålsnummer,Historisk plats,Förvärvsnummer,Omnämns i katalog,Förvärvsmetod,Förvärvsdatum,Fyndplats,Arkeologisk kontext,Kontextnamn,Undersökare,Undersökningsår,Storlek,Antal fragment,plats_latitude,plats_longitude,historisk_plats_latitude,historisk_plats_longitude,Föremålsbenämning_translated,Föremålsnr._translated,Andra nummer_translated,Material_translated,Plats_translated,Fornlämning_translated,Socken_translated,Landskap_translated,Land_translated,Kontexttyp_translated,Kontextnr._translated,Kategori_translated,Datering_translated,Tidsperiod_translated,Föremålsnummer_translated,Historisk plats_translated,Omnämns i katalog_translated,Förvärvsmetod_translated,Fyndplats_translated,Arkeologisk kontext_translated,Kontextnamn_translated,Undersökare_translated,Undersökningsår_translated,Storlek_translated,Era Start Year,Era End Year,Width,Length,Thickness,Diameter,Weight,year_uncovered
Rundsköld,107823_HST,34000.0,Undernummer: Bj 750,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,750,Historiska museet,Rundsköld - 1,https://samlingar.shm.se/object/1D1DB077-E65D-4565-A792-7DB74C230C10,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,107823_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 750",Bj 750,"Stolpe, Hjalmar",1879,,,,,,,Round shield,107823_HST,Subnumber: Bj 750,Iron,"Björkö, Hemlanden",L2017:1904,Adelsö parish,Hinterland,Sweden,Chamber tomb,750,Weapons and armor Archaeological collection,800 – 1100,Viking age,107823_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, Homeland, Archaeological site: L2017:1904, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden","Chamber tomb, Tomb, High: 750",Bj 750,"Stolpe, Hjalmar",1879,,800,1100,,,,,,1879.0
Yxa Petersen F,107824_HST,34000.0,Undernummer: Bj 750,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,750,Historiska museet,Yxa Petersen F - 2,https://samlingar.shm.se/object/F2BCA591-02C2-4E90-96B6-6B73E274C65A,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,107824_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 750",Bj 750,"Stolpe, Hjalmar",1879,,,,,,,Ax Petersen F,107824_HST,Subnumber: Bj 750,Iron,"Björkö, Hemlanden",L2017:1904,Adelsö parish,Hinterland,Sweden,Chamber tomb,750,Weapons and armor Archaeological collection,800 – 1100,Viking age,107824_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, Homeland, Archaeological site: L2017:1904, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden","Chamber tomb, Tomb, High: 750",Bj 750,"Stolpe, Hjalmar",1879,,800,1100,,,,,,1879.0
svärdsskida,107825_HST,34000.0,Undernummer: Bj 750,"Cu-legering, Trä","Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,750,Historiska museet,svärdsskida - 3,https://samlingar.shm.se/object/C1A0693F-6439-46DB-B899-D4A33A7E1E42,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,107825_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 750",Bj 750,"Stolpe, Hjalmar",1879,,,,,,,sword scabbard,107825_HST,Subnumber: Bj 750,"Cu alloy, Wood","Björkö, Hemlanden",L2017:1904,Adelsö parish,Hinterland,Sweden,Chamber tomb,750,Weapons and armor Archaeological collection,800 – 1100,Viking age,107825_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, Homeland, Archaeological site: L2017:1904, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden","Chamber tomb, Tomb, High: 750",Bj 750,"Stolpe, Hjalmar",1879,,800,1100,,,,,,1879.0
Tveeggat svärd,107827_HST,34000.0,Undernummer: Bj 750,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,750,Historiska museet,Tveeggat svärd - 4,https://samlingar.shm.se/object/A38BC834-6E7D-4B34-872C-7C72939F1E37,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,107827_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 750",Bj 750,"Stolpe, Hjalmar",1879,,,,,,,Double-edged sword,107827_HST,Subnumber: Bj 750,Iron,"Björkö, Hemlanden",L2017:1904,Adelsö parish,Hinterland,Sweden,Chamber tomb,750,Weapons and armor Archaeological collection,800 – 1100,Viking age,107827_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, Homeland, Archaeological site: L2017:1904, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden","Chamber tomb, Tomb, High: 750",Bj 750,"Stolpe, Hjalmar",1879,,800,1100,,,,,,1879.0
Tveeggat svärd,107077_HST,33136.0,FID: 107077,Järn,,,,Okänt landskap,Sverige,,,Historiska museet,Tveeggat svärd - 5,https://samlingar.shm.se/object/CE5A5104-17C2-4D47-BEF1-69FEAA8F9A4E,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,107077_HST,,33136.0,,,1998.0,"Landskap: Okänt landskap, Land: Sverige",,,,,,,46.3144754,11.0480288,46.3144754,11.0480288,Double-edged sword,107077_HST,FID: 107077,Iron,,,,Unknown landscape,Sweden,,,Weapons and armor Archaeological collection,800 – 1100,Viking age,107077_HST,,,,"Landscape: Unknown landscape, Country: Sweden",,,,,,800,1100,,,,,,
Tveeggat svärd,107079_HST,2363.0,FID: 107079,Järn,Granthe (Tingstäde?),,Hejnum socken,Gotland,Sverige,,,Historiska museet,Tveeggat svärd - 6,https://samlingar.shm.se/object/A2FDB61B-71FE-408B-BC4E-9DAA4A2B159F,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,107079_HST,,2363.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=2363,,1857.0,"Plats: Granthe (Tingstäde?), Socken: Hejnum socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",,,,,Längd 95 cm  Bredd 10 cm,,,,46.3144754,11.0480288,Double-edged sword,107079_HST,FID: 107079,Iron,Granthe (Tingstäde?),,Hejnum parish,Gotland,Sweden,,,Weapons and armor Archaeological collection,800 – 1100,Viking age,107079_HST,,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=2363,,"Place: Granthe (Tingstäde?), Parish: Hejnum parish, Municipality: Gotland municipality, Landscape: Gotland, Country: Sweden",,,,,Length 95 cm Width 10 cm,800,1100,100.0,950.0,,,,
Tveeggat svärd,107086_HST,12634.0,Fyndnummer: 12,Järn,Enehagen,,Värnamo socken,Småland,Sverige,Hög,12,Historiska museet,Tveeggat svärd - 7,https://samlingar.shm.se/object/FA475F89-D094-49EA-B4A2-FC4E0D0DB3A4,Arkeologisk samling  Vapen och rustningar,1.0,800 – 1100,Vikingatid,107086_HST,,12634.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=12634,,1905.0,"Plats: Enehagen, Socken: Värnamo socken, Kommun: Värnamo kommun, Landskap: Småland, Land: Sverige",Hög: 12,,,,Längd 83 cm  Bredd 11 cm,,57.9472032,12.5217583,46.3144754,11.0480288,Double-edged sword,107086_HST,Funny number: 12,Iron,Enehagen,,Värnamo parish,Småland,Sweden,High,12,Archaeological collection Weapons and armor,800 – 1100,Viking age,107086_HST,,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=12634,,"Place: Enehagen, Parish: Värnamo parish, Municipality: Värnamo municipality, Landscape: Småland, Country: Sweden",High: 12,,,,Length 83 cm Width 11 cm,800,1100,110.0,830.0,,,,
Svärd,107088_HST,7915.0,FID: 107088,Järn,Bärby,,Funbo socken,Uppland,Sverige,,,Historiska museet,Svärd - 8,https://samlingar.shm.se/object/29760862-0E82-482B-8354-174A4099A147,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,107088_HST,,7915.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=7915,,1886.0,"Plats: Bärby, Socken: Funbo socken, Kommun: Uppsala kommun, Landskap: Uppland, Land: Sverige",,,,,Längd 68.5 cm  Bredd 6.4 cm,,59.8566853,17.8175047,46.3144754,11.0480288,Sword,107088_HST,FID: 107088,Iron,Bearby,,Funbo parish,Hinterland,Sweden,,,Weapons and armor Archaeological collection,800 – 1100,Viking age,107088_HST,,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=7915,,"Place: Bärby, Parish: Funbo parish, Municipality: Uppsala municipality, Landscape: Uppland, Country: Sweden",,,,,Length 68.5 cm Width 6.4 cm,800,1100,64.0,685.0,,,,
Svärd Petersen Z,107495_HST,22293.0,Undernummer: 2,Järn,Bengtsarvet och Häradsarvet,L2000:9040,Sollerön socken,Dalarna,Sverige,Hög,2,Historiska museet,Svärd Petersen Z - 9,https://samlingar.shm.se/object/B1C793CC-B1CD-47D8-AC84-F5540575ED93,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,107495_HST,,22293.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=22293,,1939.0,"Plats: Bengtsarvet och Häradsarvet, Fornlämning: L2000:9040, Socken: Sollerön socken, Kommun: Mora kommun, Landskap: Dalarna, Land: Sverige",Hög: 2,,,,,,,,46.3144754,11.0480288,Sword Petersen Z,107495_HST,Subnumber: 2,Iron,Bengtsarvet and Häradsarvet,L2000:9040,Sollerön parish,The valleys,Sweden,High,2,Weapons and armor Archaeological collection,800 – 1100,Viking age,107495_HST,,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=22293,,"Location: Bengtsarvet and Häradsarvet, Ancient site: L2000:9040, Parish: Sollerön parish, Municipality: Mora municipality, Landscape: Dalarna, Country: Sweden",High: 2,,,,,800,1100,,,,,,
Dubbeleggad yxa,106509_HST,3326.0,FID: 106509,Järn,Broby,,Lannaskede socken,Småland,Sverige,,,Historiska museet,Dubbeleggad yxa - 10,https://samlingar.shm.se/object/521D9D50-A222-4D6E-AB2B-4A6F7903CB27,Vapen och rustningar  Religion och kult  Arkeologisk samling,1.0,800 – 1100,Vikingatid,106509_HST,,3326.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=3326,,1865.0,"Plats: Broby, Socken: Lannaskede socken, Kommun: Vetlanda kommun, Landskap: Småland, Land: Sverige",,,,,,1.0,56.2549337,14.0777187,46.3144754,11.0480288,Double coated axe,106509_HST,FID: 106509,Iron,Broby,,Lannasked parish,Småland,Sweden,,,Weapons and armor Religion and cult Archaeological collection,800 – 1100,Viking age,106509_HST,,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=3326,,"Place: Broby, Parish: Lannaskede parish, Municipality: Vetlanda municipality, Landscape: Småland, Country: Sweden",,,,,,800,1100,,,,,,
